start,start_unix,end,end_unix,reward
2016-04-06,1459915200,2016-05-13,1463112000,0.4455541000000001
2016-04-07,1460001600,2016-05-16,1463371200,-0.13775409999999993
2016-04-12,1460433600,2016-05-23,1463976000,0.4797540999999996
2016-04-19,1461038400,2016-05-26,1464235200,-0.0997540999999999
2016-04-21,1461211200,2016-05-27,1464321600,-0.7436520999999998
2016-05-04,1462334400,2016-05-31,1464667200,-0.1934658999999999
2016-05-10,1462852800,2016-06-10,1465531200,1.3744459
2016-05-13,1463112000,2016-06-22,1466568000,-0.06224590000000002
2016-05-16,1463371200,2016-06-23,1466654400,1.5202459000000004
2016-05-17,1463457600,2016-06-24,1466740800,0.0997540999999999
2016-05-24,1464062400,2016-06-28,1467086400,0.7436520999999998
2016-05-27,1464321600,2016-06-30,1467259200,0.1934658999999999
2016-05-31,1464667200,2016-07-01,1467345600,-0.4178520999999998
2016-06-01,1464753600,2016-07-07,1467864000,0.16853409999999996
2016-06-13,1465790400,2016-07-11,1468209600,-0.4455541000000001
2016-06-23,1466654400,2016-08-12,1470974400,1.0943479
2016-06-24,1466740800,2016-08-15,1471233600,0.5831279000000005
2016-06-27,1467000000,2016-08-17,1471406400,1.2807341
2016-06-29,1467172800,2016-08-18,1471492800,3.0124459
2016-07-01,1467345600,2016-08-22,1471838400,1.7577541
2016-07-05,1467691200,2016-08-23,1471924800,1.3202459000000002
2016-07-08,1467950400,2016-09-02,1472788800,2.0997540999999997
2016-07-12,1468296000,2016-09-07,1473220800,1.7002459
2016-08-15,1471233600,2016-09-08,1473307200,0.29975409999999986
2016-08-16,1471320000,2016-09-12,1473652800,-1.2563479
2016-08-18,1471492800,2016-09-14,1473825600,-0.7631279000000002
2016-08-19,1471579200,2016-09-21,1474430400,-1.4807340999999998
2016-08-23,1471924800,2016-09-22,1474516800,-0.05585210000000013
2016-08-24,1472011200,2016-09-27,1474948800,-1.6514659000000003
2016-09-06,1473134400,2016-09-28,1475035200,-0.24555409999999994
2016-09-08,1473307200,2016-10-14,1476417600,-1.8622459
2016-09-09,1473393600,2016-10-17,1476676800,-1.4363478999999997
