start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,42.43,44.46807559577582,2016-03-17,1458187200,
2016-03-18,1458273600,44.46807559577582,46.51378772548409,2016-03-21,1458532800,1.0
2016-03-22,1458619200,42.425905443119206,44.46807559577582,2016-03-31,1459396800,-1.0
2016-04-01,1459483200,40.40758072556816,42.425905443119206,2016-04-12,1460433600,-1.0
2016-04-13,1460520000,42.425905443119206,44.40226500955038,2016-04-14,1460606400,1.0
2016-04-15,1460692800,40.34407500063518,42.425905443119206,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,38.266748384959776,40.34407500063518,2016-04-27,1461729600,-1.0
2016-04-28,1461816000,36.21372215125885,38.266748384959776,2016-05-09,1462766400,-1.0
2016-05-10,1462852800,38.266748384959776,40.20903600555098,2016-05-10,1462852800,1.0
2016-05-11,1462939200,36.34619559441081,38.266748384959776,2016-05-13,1463112000,-1.0
2016-05-16,1463371200,38.266748384959776,40.31668296252395,2016-05-25,1464148800,1.0
2016-05-26,1464235200,36.393947006187894,38.266748384959776,2016-05-26,1464235200,-1.0
2016-05-27,1464321600,38.266748384959776,40.08292109381938,2016-06-01,1464753600,1.0
2016-06-02,1464840000,36.53072599379193,38.266748384959776,2016-06-10,1465531200,-1.0
2016-06-13,1465790400,34.69979212354912,36.53072599379193,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,32.822113656740285,34.69979212354912,2016-06-23,1466654400,-1.0
2016-06-24,1466740800,30.855650129280015,32.822113656740285,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,28.733933996638335,30.855650129280015,2016-06-27,1467000000,-1.0
2016-06-28,1467086400,30.855650129280015,32.976243681018715,2016-07-07,1467864000,1.0
2016-07-08,1467950400,32.976243681018715,35.07742338755201,2016-07-11,1468209600,1.0
2016-07-12,1468296000,35.07742338755201,37.26605282838939,2016-07-20,1468987200,1.0
2016-07-21,1469073600,32.92272020693214,35.07742338755201,2016-07-27,1469592000,-1.0
2016-07-28,1469678400,35.07742338755201,36.97202320467042,2016-07-28,1469678400,1.0
2016-07-29,1469764800,33.18572355737063,35.07742338755201,2016-07-29,1469764800,-1.0
2016-08-01,1470024000,35.07742338755201,36.92143037272044,2016-08-01,1470024000,1.0
2016-08-02,1470110400,32.9987026156099,35.07742338755201,2016-08-02,1470110400,-1.0
2016-08-03,1470196800,30.98874761309223,32.9987026156099,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,32.9987026156099,34.93850055145422,2016-08-09,1470715200,1.0
2016-08-10,1470801600,31.160937285781195,32.9987026156099,2016-08-12,1470974400,-1.0
2016-08-15,1471233600,32.9987026156099,34.73680772845016,2016-08-19,1471579200,1.0
2016-08-22,1471838400,31.45494808687597,32.9987026156099,2016-08-23,1471924800,-1.0
2016-08-24,1472011200,32.9987026156099,34.45276646946722,2016-08-24,1472011200,1.0
2016-08-25,1472097600,31.606071894170963,32.9987026156099,2016-08-29,1472443200,-1.0
2016-08-30,1472529600,32.9987026156099,34.384343903875696,2016-08-30,1472529600,1.0
2016-08-31,1472616000,31.561607133648803,32.9987026156099,2016-08-31,1472616000,-1.0
2016-09-01,1472702400,32.9987026156099,34.42829127743092,2016-09-06,1473134400,1.0
2016-09-07,1473220800,34.42829127743092,35.995558875834995,2016-09-08,1473307200,1.0
2016-09-09,1473393600,32.813902378807,34.42829127743092,2016-09-09,1473393600,-1.0
2016-09-12,1473652800,34.42829127743092,36.125366683295994,2016-09-12,1473652800,1.0
2016-09-13,1473739200,32.722578400556216,34.42829127743092,2016-09-21,1474430400,-1.0
2016-09-22,1474516800,34.42829127743092,35.99182190272625,2016-09-23,1474603200,1.0
2016-09-26,1474862400,32.899869462763014,34.42829127743092,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,34.42829127743092,35.99411153390827,2016-10-03,1475467200,1.0
2016-10-04,1475553600,35.99411153390827,37.55043033427464,2016-10-05,1475640000,1.0
2016-10-06,1475726400,34.534816241755635,35.99411153390827,2016-10-18,1476763200,-1.0
2016-10-19,1476849600,35.99411153390827,37.861930030191694,2016-11-03,1478145600,1.0
2016-11-04,1478232000,37.861930030191694,39.610318215321556,2016-11-04,1478232000,1.0
2016-11-07,1478494800,39.610318215321556,41.43310724437072,2016-11-10,1478754000,1.0
2016-11-11,1478840400,41.43310724437072,43.43974873381973,2016-11-16,1479272400,1.0
2016-11-17,1479358800,43.43974873381973,45.47255000360713,2016-11-30,1480482000,1.0
2016-12-01,1480568400,41.633960826745685,43.43974873381973,2016-12-01,1480568400,-1.0
2016-12-02,1480654800,43.43974873381973,45.25283750467419,2016-12-02,1480654800,1.0
2016-12-05,1480914000,41.613452018026294,43.43974873381973,2016-12-05,1480914000,-1.0
2016-12-06,1481000400,43.43974873381973,45.32845282705649,2016-12-06,1481000400,1.0
2016-12-07,1481086800,45.32845282705649,47.33167805649062,2016-12-09,1481259600,1.0
2016-12-12,1481518800,43.20991863279016,45.32845282705649,2016-12-14,1481691600,-1.0
2016-12-15,1481778000,45.32845282705649,47.46208169906928,2016-12-15,1481778000,1.0
2016-12-16,1481864400,43.18394030304461,45.32845282705649,2016-12-16,1481864400,-1.0
2016-12-19,1482123600,45.32845282705649,47.38664302792466,2016-12-21,1482296400,1.0
2016-12-22,1482382800,43.38559718882494,45.32845282705649,2016-12-23,1482469200,-1.0
2016-12-27,1482814800,45.32845282705649,47.126639576347976,2016-12-27,1482814800,1.0
2016-12-28,1482901200,43.541707988428676,45.32845282705649,2017-01-03,1483419600,-1.0
2017-01-04,1483506000,45.32845282705649,47.05876642909858,2017-01-04,1483506000,1.0
2017-01-05,1483592400,43.58287591087455,45.32845282705649,2017-01-09,1483938000,-1.0
2017-01-10,1484024400,45.32845282705649,47.10644061308117,2017-01-18,1484715600,1.0
2017-01-19,1484802000,43.50623522806048,45.32845282705649,2017-01-19,1484802000,-1.0
2017-01-20,1484888400,45.32845282705649,47.11822631183849,2017-01-20,1484888400,1.0
2017-01-23,1485147600,43.46594887690177,45.32845282705649,2017-01-25,1485320400,-1.0
2017-01-26,1485406800,45.32845282705649,47.18256404370733,2017-01-26,1485406800,1.0
2017-01-27,1485493200,43.4267781258807,45.32845282705649,2017-01-27,1485493200,-1.0
2017-01-30,1485752400,41.410223046217475,43.4267781258807,2017-02-03,1486098000,-1.0
2017-02-06,1486357200,43.4267781258807,45.27954110260431,2017-02-06,1486357200,1.0
2017-02-07,1486443600,41.60735536178021,43.4267781258807,2017-02-08,1486530000,-1.0
2017-02-09,1486616400,43.4267781258807,45.22488244798776,2017-02-14,1487048400,1.0
2017-02-15,1487134800,45.22488244798776,47.075424085422675,2017-02-27,1488171600,1.0
2017-02-28,1488258000,43.643230695809905,45.22488244798776,2017-02-28,1488258000,-1.0
2017-03-01,1488344400,45.22488244798776,46.91855907501005,2017-03-01,1488344400,1.0
2017-03-02,1488430800,43.51075415146706,45.22488244798776,2017-03-02,1488430800,-1.0
2017-03-03,1488517200,45.22488244798776,46.92328729475698,2017-03-03,1488517200,1.0
2017-03-06,1488776400,43.424077947416336,45.22488244798776,2017-03-06,1488776400,-1.0
2017-03-07,1488862800,41.602759482600014,43.424077947416336,2017-03-20,1489982400,-1.0
2017-03-21,1490068800,39.73315145612117,41.602759482600014,2017-03-23,1490241600,-1.0
2017-03-24,1490328000,41.602759482600014,43.40060818310075,2017-03-28,1490673600,1.0
2017-03-29,1490760000,39.82574213748335,41.602759482600014,2017-03-29,1490760000,-1.0
2017-03-30,1490846400,41.602759482600014,43.318418445922624,2017-03-30,1490846400,1.0
2017-03-31,1490932800,39.963361873800444,41.602759482600014,2017-03-31,1490932800,-1.0
2017-04-03,1491192000,41.602759482600014,43.215057262199615,2017-04-03,1491192000,1.0
2017-04-04,1491278400,39.951340115828955,41.602759482600014,2017-04-12,1491969600,-1.0
2017-04-13,1492056000,38.24875823138687,39.951340115828955,2017-04-13,1492056000,-1.0
2017-04-17,1492401600,39.951340115828955,41.58502329423946,2017-04-21,1492747200,1.0
2017-04-24,1493006400,41.58502329423946,43.24668598753982,2017-04-26,1493179200,1.0
2017-04-27,1493265600,39.917975576607944,41.58502329423946,2017-05-01,1493611200,-1.0
2017-05-02,1493697600,41.58502329423946,43.35403781159968,2017-05-02,1493697600,1.0
2017-05-03,1493784000,43.35403781159968,45.107265577719886,2017-05-09,1494302400,1.0
2017-05-10,1494388800,45.107265577719886,46.7564411759938,2017-05-10,1494388800,1.0
2017-05-11,1494475200,43.428031093608396,45.107265577719886,2017-05-16,1494907200,-1.0
2017-05-17,1494993600,41.74989999977488,43.428031093608396,2017-05-18,1495080000,-1.0
2017-05-19,1495166400,43.428031093608396,45.069409434719944,2017-05-24,1495598400,1.0
2017-05-25,1495684800,45.069409434719944,46.62410718566973,2017-05-26,1495771200,1.0
2017-05-30,1496116800,43.45272616987038,45.069409434719944,2017-05-31,1496203200,-1.0
2017-06-01,1496289600,45.069409434719944,46.663498576350435,2017-06-02,1496376000,1.0
2017-06-05,1496635200,46.663498576350435,48.3643815607155,2017-06-05,1496635200,1.0
2017-06-06,1496721600,45.010821519440015,46.663498576350435,2017-06-06,1496721600,-1.0
2017-06-07,1496808000,46.663498576350435,48.41541298633868,2017-06-27,1498536000,1.0
2017-06-28,1498622400,48.41541298633868,50.05643455304807,2017-07-06,1499313600,1.0
2017-07-07,1499400000,50.05643455304807,51.64810717422778,2017-07-07,1499400000,1.0
2017-07-10,1499659200,48.44859569052406,50.05643455304807,2017-07-11,1499745600,-1.0
2017-07-12,1499832000,50.05643455304807,51.688907857979494,2017-07-12,1499832000,1.0
2017-07-13,1499918400,48.34770934132604,50.05643455304807,2017-07-13,1499918400,-1.0
2017-07-14,1500004800,50.05643455304807,51.7588222496471,2017-07-14,1500004800,1.0
2017-07-17,1500264000,48.3959316919204,50.05643455304807,2017-07-19,1500436800,-1.0
2017-07-20,1500523200,46.720038548371754,48.3959316919204,2017-07-24,1500868800,-1.0
2017-07-25,1500955200,45.06074509488182,46.720038548371754,2017-07-28,1501214400,-1.0
2017-07-31,1501473600,43.33317344960053,45.06074509488182,2017-07-31,1501473600,-1.0
2017-08-01,1501560000,45.06074509488182,46.77420447978587,2017-08-09,1502251200,1.0
2017-08-10,1502337600,43.53674031647637,45.06074509488182,2017-08-11,1502424000,-1.0
2017-08-14,1502683200,45.06074509488182,46.5853002354457,2017-08-16,1502856000,1.0
2017-08-17,1502942400,43.42040703226562,45.06074509488182,2017-08-17,1502942400,-1.0
2017-08-18,1503028800,41.80209311697915,43.42040703226562,2017-08-18,1503028800,-1.0
2017-08-21,1503288000,43.42040703226562,45.00155566788877,2017-08-21,1503288000,1.0
2017-08-22,1503374400,41.83648329918698,43.42040703226562,2017-08-23,1503460800,-1.0
